driver_id,driver_name,driver_classification,start_date,pay
1,John Doe,Bus Only,1994-1-1,38.4
2,Jane Doe,Metro Only,1993-1-1,39.4
3,Jack Reacher,Bus and Metro,1973-1-1,46.4
4,Jill Smith,Bus and Metro,1983-1-1,45.4
5,Adam Smith,Bus Only,1983-1-1,36.2
6,George Washington,Bus Only,1894-1-1,38.4
7,James Monroe,Metro Only,1993-1-1,39.4
8,Teddy Roosevelt,Bus and Metro,1873-1-1,46.4
9,Stan Marsh,Bus and Metro,1943-1-1,45.4
10,Rick Stevens,Bus Only,1983-1-1,36.2
11,Barry Allen,Bus Only,1972-1-1,38.4
12,Frank Abernathy,Metro Only,1993-1-1,39.4
13,Carl Hunger,Bus and Metro,1964-1-1,46.4
14,Tom Hanks,Bus and Metro,1943-1-1,45.4
15,Thomas Edison,Bus Only,1983-1-1,36.2
